School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
Unity College,ME,3,94.31,0,3679,0.7127,0.0484,0.1057,0.0101,19016,0.46875,25000,0.50862069,0.321100917,66806.5,37400,37852,61200
Fontbonne University,MO,3,94.43,0,668,0.6243,0.2485,0.0165,0.0165,19174,0.578571429,25000,0.660091047,0.322422259,51139,46300,48825,81800
Ozark Christian College,MO,3,94.43,0,597,0.8241,0.0201,0.067,0.0151,17485,0.408450704,16772,0.502040816,0.25862069,49407,33900,41297,58300
Pacific Northwest College of Art,OR,3,94.48,0,376,0.6303,0.0426,0.0904,0.0346,37969,0.357894737,25000,0.732620321,0.179640719,47348,37400,34883,60700
Life Pacific University,CA,3,94.48,0,395,0.4101,0.0658,0.3646,0.0405,22668,0.486187845,22395,0.552715655,0.371428571,39700,34400,43299,72800
Barton College,NC,3,94.6,0,1057,0.5676,0.2412,0.1126,0.0047,23013,0.533536585,25877,0.730578512,0.35009311,38256,39400,47913,64400
Rabbinical College of America,NJ,3,94.67,0,193,0.7876,0,0,0,13059,0.125,0,0,0.11627907,35086.5,37500,34990,0
Pontifical Catholic University of Puerto Rico-Ponce,PR,3,94.74,0,4075,0,0,0.9956,0,10283,0.290040769,15500,0.584302326,0.308402292,10990.5,21400,24908,40700
Brewton-Parker College,GA,3,94.76,0,646,0.4071,0.37,0.1161,0.0093,21918,0,24990,0.371900826,0.376146789,31140,35100,42009,63000
Columbia College Chicago,IL,3,94.77,0,6378,0.4398,0.1703,0.2584,0.035,26457,0.523377213,25000,0.611514662,0.249486352,49117,39200,42195,68900
SUNY College of Technology at Canton,NY,3,94.91,0,2758,0.673,0.1091,0.1033,0.0254,14559,0.419354839,20000,0.571358025,0.369809203,35630,39600,47860,68400
