School Name,Type,Major,Description,1 Year,4 Years,5 Years
Ottawa University-Ottawa,"Private, nonprofit",Business Administration,Bachelor's Degree,51627,52065,56507
Ottawa University-Phoenix,"Private, nonprofit",Business Administration,Bachelor's Degree,51627,52065,56507
Ottawa University-Surprise,"Private, nonprofit",Business Administration,Bachelor's Degree,51627,52065,56507
Indiana University-Northwest,Public,Business Administration,Bachelor's Degree,39957,46392,56498
West Texas A & M University,Public,Business Administration,Bachelor's Degree,43492,51645,56472
University of Central Missouri,Public,Business Administration,Bachelor's Degree,42588,51439,56431
University of South Carolina Aiken,Public,Business Administration,Bachelor's Degree,44816,50626,56391
SUNY Buffalo State University,Public,Business Administration,Bachelor's Degree,38283,50668,56380
Dickinson State University,Public,Business Administration,Bachelor's Degree,50830,50499,56301
Wayland Baptist University,"Private, nonprofit",Business Administration,Bachelor's Degree,51763,50475,56287
Grand View University,"Private, nonprofit",Business Administration,Bachelor's Degree,51251,51189,56271
Our Lady of the Lake University,"Private, nonprofit",Business Administration,Bachelor's Degree,42247,43858,56243
Palm Beach Atlantic University,"Private, nonprofit",Business Administration,Bachelor's Degree,46970,45257,56237
University of Wisconsin-Stevens Point,Public,Business Administration,Bachelor's Degree,47454,53730,56196
Erskine College,"Private, nonprofit",Business Administration,Bachelor's Degree,35695,44789,56178
Rocky Mountain College,"Private, nonprofit",Business Administration,Bachelor's Degree,42971,53398,56170
Anderson University,"Private, nonprofit",Business Administration,Bachelor's Degree,34294,48428,56152
Sullivan University,"Private, for-profit",Business Administration,Bachelor's Degree,46483,52010,56095
Aquinas College,"Private, nonprofit",Business Administration,Bachelor's Degree,49378,51589,56041
Lewis-Clark State College,Public,Business Administration,Bachelor's Degree,41473,46557,56037
Chadron State College,Public,Business Administration,Bachelor's Degree,43124,50314,56015
California University of Pennsylvania,Public,Business Administration,Bachelor's Degree,40356,51736,55983
SUNY College of Technology at Alfred,Public,Business Administration,Bachelor's Degree,44389,49900,55892
Bowling Green State University-Main Campus,Public,Business Administration,Bachelor's Degree,46018,52583,55822
Thomas College,"Private, nonprofit",Business Administration,Bachelor's Degree,42478,58478,55814
Western Kentucky University,Public,Business Administration,Bachelor's Degree,44498,47395,55804
Hawaii Pacific University,"Private, nonprofit",Business Administration,Bachelor's Degree,45651,51468,55789
Rogers State University,Public,Business Administration,Bachelor's Degree,41551,51971,55749
University of Hawaii-West Oahu,Public,Business Administration,Bachelor's Degree,38495,47226,55729
Point Loma Nazarene University,"Private, nonprofit",Business Administration,Bachelor's Degree,48397,56297,55709
SUNY College at Potsdam,Public,Business Administration,Bachelor's Degree,36555,49641,55709
Radford University,Public,Business Administration,Bachelor's Degree,45380,49713,55706
CUNY Medgar Evers College,Public,Business Administration,Bachelor's Degree,43914,54515,55668
University of Massachusetts-Dartmouth,Public,Business Administration,Bachelor's Degree,46382,49862,55612
Broward College,Public,Business Administration,Bachelor's Degree,48880,49041,55611
Clarke University,"Private, nonprofit",Business Administration,Bachelor's Degree,38921,55688,55594
CUNY Lehman College,Public,Business Administration,Bachelor's Degree,42890,49624,55567
FIDM-Fashion Institute of Design & Merchandising,"Private, for-profit",Business Administration,Bachelor's Degree,35898,50953,55545
FIDM-Fashion Institute of Design & Merchandising-San Francisco,"Private, for-profit",Business Administration,Bachelor's Degree,35898,50953,55545
Dakota State University,Public,Business Administration,Bachelor's Degree,44748,46570,55529
University of North Carolina at Greensboro,Public,Business Administration,Bachelor's Degree,43451,49276,55523
The University of Texas at San Antonio,Public,Business Administration,Bachelor's Degree,33366,40545,55513
Lynn University,"Private, nonprofit",Business Administration,Bachelor's Degree,63132,48653,55453
Valdosta State University,Public,Business Administration,Bachelor's Degree,41377,48043,55405
Utica University,"Private, nonprofit",Business Administration,Bachelor's Degree,38356,42056,55386
California College San Diego,"Private, nonprofit",Business Administration,Bachelor's Degree,40877,48151,55378
California College San Diego,"Private, nonprofit",Business Administration,Bachelor's Degree,40877,48151,55378
Oklahoma Panhandle State University,Public,Business Administration,Bachelor's Degree,44397,51981,55324
University of Virginia's College at Wise,Public,Business Administration,Bachelor's Degree,34175,47939,55270
University of New Orleans,Public,Business Administration,Bachelor's Degree,38299,43876,55269
SUNY Polytechnic Institute,Public,Business Administration,Bachelor's Degree,41684,49397,55262
Charter College,"Private, for-profit",Business Administration,Bachelor's Degree,47217,43694,55248
Tennessee State University,Public,Business Administration,Bachelor's Degree,40077,53542,55205
University of Akron Main Campus,Public,Business Administration,Bachelor's Degree,49049,43756,55195
University of Central Arkansas,Public,Business Administration,Bachelor's Degree,38995,44687,55193
North Dakota State University-Main Campus,Public,Business Administration,Bachelor's Degree,36513,47638,55166
Northern Michigan University,Public,Business Administration,Bachelor's Degree,38848,47962,55139
Angelo State University,Public,Business Administration,Bachelor's Degree,35958,47644,55115
University of Mount Olive,"Private, nonprofit",Business Administration,Bachelor's Degree,48751,50645,55111
Clark Atlanta University,"Private, nonprofit",Business Administration,Bachelor's Degree,30518,51161,55077
Hilbert College,"Private, nonprofit",Business Administration,Bachelor's Degree,45854,49504,55071
Saginaw Valley State University,Public,Business Administration,Bachelor's Degree,37424,58706,55038
Middle Georgia State University,Public,Business Administration,Bachelor's Degree,49052,45688,55026
University of South Florida,Public,Business Administration,Bachelor's Degree,45966,51477,55006
Hartwick College,"Private, nonprofit",Business Administration,Bachelor's Degree,48111,52791,54996
Berea College,"Private, nonprofit",Business Administration,Bachelor's Degree,44627,52009,54907
Missouri State University-Springfield,Public,Business Administration,Bachelor's Degree,43364,46891,54872
Central Methodist University-College of Graduate and Extended Studies,"Private, nonprofit",Business Administration,Bachelor's Degree,39435,46508,54864
Central Methodist University-College of Liberal Arts and Sciences,"Private, nonprofit",Business Administration,Bachelor's Degree,39435,46508,54864
New England College,"Private, nonprofit",Business Administration,Bachelor's Degree,45086,52201,54796
Argosy University,"Private, for-profit",Business Administration,Bachelor's Degree,52547,46722,54735
Mount Mercy University,"Private, nonprofit",Business Administration,Bachelor's Degree,40297,49434,54703
Black Hills State University,Public,Business Administration,Bachelor's Degree,45682,44794,54682
Santa Fe College,Public,Business Administration,Bachelor's Degree,45590,42479,54660
Alabama A & M University,Public,Business Administration,Bachelor's Degree,40183,51283,54650
Texas A & M University-Commerce,Public,Business Administration,Bachelor's Degree,50488,49206,54648
University of Nevada-Las Vegas,Public,Business Administration,Bachelor's Degree,33770,47689,54643
Clayton  State University,Public,Business Administration,Bachelor's Degree,46721,46293,54637
Western Oregon University,Public,Business Administration,Bachelor's Degree,42281,46076,54598
Grace College and Theological Seminary,"Private, nonprofit",Business Administration,Bachelor's Degree,62251,49304,54568
Texas Woman's University,Public,Business Administration,Bachelor's Degree,44084,52647,54528
South University-Austin,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Columbia,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Montgomery,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Richmond,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Savannah,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Savannah Online,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Tampa,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-Virginia Beach,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
South University-West Palm Beach,"Private, for-profit",Business Administration,Bachelor's Degree,43773,48439,54466
Medaille University,"Private, nonprofit",Business Administration,Bachelor's Degree,48889,45737,54404
SUNY College of Technology at Canton,Public,Business Administration,Bachelor's Degree,45194,46362,54397
Campbell University,"Private, nonprofit",Business Administration,Bachelor's Degree,43106,56327,54376
Mid-America Christian University,"Private, nonprofit",Business Administration,Bachelor's Degree,53164,51846,54348
University of South Alabama,Public,Business Administration,Bachelor's Degree,44348,48070,54316
Plymouth State University,Public,Business Administration,Bachelor's Degree,40902,49462,54303
Columbus State University,Public,Business Administration,Bachelor's Degree,37852,49756,54271
Pittsburg State University,Public,Business Administration,Bachelor's Degree,46738,50671,54241
Campbellsville University,"Private, nonprofit",Business Administration,Bachelor's Degree,36749,46822,54199
Concordia University-Chicago,"Private, nonprofit",Business Administration,Bachelor's Degree,44581,53028,54197
Thiel College,"Private, nonprofit",Business Administration,Bachelor's Degree,44281,52080,54126
Mississippi State University,Public,Business Administration,Bachelor's Degree,37975,47624,54081
Roosevelt University,"Private, nonprofit",Business Administration,Bachelor's Degree,40878,47729,54001
University of Wisconsin-Superior,Public,Business Administration,Bachelor's Degree,45999,46203,53947
Point University,"Private, nonprofit",Business Administration,Bachelor's Degree,38061,43914,53940
Northern State University,Public,Business Administration,Bachelor's Degree,43667,48645,53939
Adams State University,Public,Business Administration,Bachelor's Degree,40181,47305,53884
Fort Valley State University,Public,Business Administration,Bachelor's Degree,31173,43829,53865
Berkeley College-New York,"Private, for-profit",Business Administration,Bachelor's Degree,39925,46914,53826
Methodist University,"Private, nonprofit",Business Administration,Bachelor's Degree,47235,46293,53790
Doane University,"Private, nonprofit",Business Administration,Bachelor's Degree,50856,50934,53758
Texas A & M University-Commerce,Public,Business Administration,Bachelor's Degree,47654,48192,53649
Northeastern State University,Public,Business Administration,Bachelor's Degree,43690,49885,53647
Wayne State College,Public,Business Administration,Bachelor's Degree,43490,48169,53578
Salem College,"Private, nonprofit",Business Administration,Bachelor's Degree,43299,37714,53575
Sam Houston State University,Public,Business Administration,Bachelor's Degree,44700,51512,53488
Langston University,Public,Business Administration,Bachelor's Degree,30891,45733,53466
Palm Beach State College,Public,Business Administration,Bachelor's Degree,43450,48399,53399
University of Southern Indiana,Public,Business Administration,Bachelor's Degree,40892,50494,53394
Bloomfield College,"Private, nonprofit",Business Administration,Bachelor's Degree,33806,45791,53385
Polk State College,Public,Business Administration,Bachelor's Degree,45921,45508,53333
Flagler College,"Private, nonprofit",Business Administration,Bachelor's Degree,39781,49858,53322
Hickey College,"Private, for-profit",Business Administration,Bachelor's Degree,39124,45544,53194
Cairn University-Langhorne,"Private, nonprofit",Business Administration,Bachelor's Degree,50263,53696,53183
North Greenville University,"Private, nonprofit",Business Administration,Bachelor's Degree,41041,43515,53171
American InterContinental University,"Private, for-profit",Business Administration,Bachelor's Degree,43528,47125,53144
American InterContinental University-Atlanta,"Private, for-profit",Business Administration,Bachelor's Degree,43528,47125,53144
American InterContinental University-Houston,"Private, for-profit",Business Administration,Bachelor's Degree,43528,47125,53144
Shepherd University,Public,Business Administration,Bachelor's Degree,41766,53391,53057
Cameron University,Public,Business Administration,Bachelor's Degree,37143,46417,53051
Youngstown State University,Public,Business Administration,Bachelor's Degree,43119,51077,53043
Dean College,"Private, nonprofit",Business Administration,Bachelor's Degree,39200,52171,53029
Stephen F Austin State University,Public,Business Administration,Bachelor's Degree,40868,46004,53002
Johnson & Wales University-Charlotte,"Private, nonprofit",Business Administration,Bachelor's Degree,39917,48362,52954
Johnson & Wales University-Denver,"Private, nonprofit",Business Administration,Bachelor's Degree,39917,48362,52954
Johnson & Wales University-North Miami,"Private, nonprofit",Business Administration,Bachelor's Degree,39917,48362,52954
Johnson & Wales University-Online,"Private, nonprofit",Business Administration,Bachelor's Degree,39917,48362,52954
Johnson & Wales University-Providence,"Private, nonprofit",Business Administration,Bachelor's Degree,39917,48362,52954
Massachusetts College of Liberal Arts,Public,Business Administration,Bachelor's Degree,39369,44266,52945
College of the Ozarks,"Private, nonprofit",Business Administration,Bachelor's Degree,39081,47444,52838
Louisiana Tech University,Public,Business Administration,Bachelor's Degree,42099,45214,52803
Carson-Newman University,"Private, nonprofit",Business Administration,Bachelor's Degree,42904,46187,52782
Saint Francis University,"Private, nonprofit",Business Administration,Bachelor's Degree,42706,47037,52759
CUNY York College,Public,Business Administration,Bachelor's Degree,42499,46713,52751
Morehead State University,Public,Business Administration,Bachelor's Degree,38301,47451,52725
Bethany Lutheran College,"Private, nonprofit",Business Administration,Bachelor's Degree,44462,47788,52695
Faulkner University,"Private, nonprofit",Business Administration,Bachelor's Degree,36990,49568,52681
Emory & Henry College,"Private, nonprofit",Business Administration,Bachelor's Degree,35349,47179,52576
Louisiana State University-Shreveport,Public,Business Administration,Bachelor's Degree,43321,48747,52559
Southwestern Assemblies of God University,"Private, nonprofit",Business Administration,Bachelor's Degree,35482,44446,52521
Bethel University,"Private, nonprofit",Business Administration,Bachelor's Degree,50112,44905,52510
Lamar University,Public,Business Administration,Bachelor's Degree,37280,49841,52497
Clayton  State University,Public,Business Administration,Bachelor's Degree,33735,46359,52452
Westminster College,"Private, nonprofit",Business Administration,Bachelor's Degree,42184,47544,52410
Marshall University,Public,Business Administration,Bachelor's Degree,35036,44768,52406
Southern Arkansas University Main Campus,Public,Business Administration,Bachelor's Degree,34910,46872,52348
Alfred University,"Private, nonprofit",Business Administration,Bachelor's Degree,36059,46262,52309
Indiana State University,Public,Business Administration,Bachelor's Degree,44868,46753,52281
Regis College,"Private, nonprofit",Business Administration,Bachelor's Degree,49677,50413,52270
Savannah State University,Public,Business Administration,Bachelor's Degree,30170,44897,52238
Stevenson University,"Private, nonprofit",Business Administration,Bachelor's Degree,41000,46684,52144
Chicago State University,Public,Business Administration,Bachelor's Degree,42882,45591,52095
Alma College,"Private, nonprofit",Business Administration,Bachelor's Degree,39300,50424,52089
Montana State University-Northern,Public,Business Administration,Bachelor's Degree,40381,41836,52044
SUNY Morrisville,Public,Business Administration,Bachelor's Degree,36002,41960,51982
East Tennessee State University,Public,Business Administration,Bachelor's Degree,37041,46055,51918
Vermont Technical College,Public,Business Administration,Bachelor's Degree,37469,36747,51876
Kentucky State University,Public,Business Administration,Bachelor's Degree,27013,42063,51854
Southwestern Oklahoma State University,Public,Business Administration,Bachelor's Degree,43762,48108,51852
Midland University,"Private, nonprofit",Business Administration,Bachelor's Degree,44021,45164,51843
MacMurray College,"Private, nonprofit",Business Administration,Bachelor's Degree,38921,41987,51740
Wingate University,"Private, nonprofit",Business Administration,Bachelor's Degree,42476,46126,51686
William Peace University,"Private, nonprofit",Business Administration,Bachelor's Degree,47278,52835,51640
Lincoln University,Public,Business Administration,Bachelor's Degree,28984,44503,51615
Georgian Court University,"Private, nonprofit",Business Administration,Bachelor's Degree,35963,49925,51601
Southern University and A & M College,Public,Business Administration,Bachelor's Degree,37911,49195,51573
Claflin University,"Private, nonprofit",Business Administration,Bachelor's Degree,37616,39579,51544
Evangel University,"Private, nonprofit",Business Administration,Bachelor's Degree,41610,42754,51486
Mount Aloysius College,"Private, nonprofit",Business Administration,Bachelor's Degree,36952,43850,51485
Columbus State University,Public,Business Administration,Bachelor's Degree,37561,42810,51469
Lander University,Public,Business Administration,Bachelor's Degree,37208,44556,51426
Austin Peay State University,Public,Business Administration,Bachelor's Degree,35699,46376,51396
College of Coastal Georgia,Public,Business Administration,Bachelor's Degree,33940,41546,51340
Berkeley College-Woodland Park,"Private, for-profit",Business Administration,Bachelor's Degree,40550,45602,51255
Mary Baldwin University,"Private, nonprofit",Business Administration,Bachelor's Degree,44920,43319,51156
Fairmont State University,Public,Business Administration,Bachelor's Degree,33767,44769,51130
Concordia University-Portland,"Private, nonprofit",Business Administration,Bachelor's Degree,42789,46338,51035
University of Louisiana at Monroe,Public,Business Administration,Bachelor's Degree,37011,44361,50920
Western Carolina University,Public,Business Administration,Bachelor's Degree,39513,44964,50856
Texas Southern University,Public,Business Administration,Bachelor's Degree,40304,52161,50758
ECPI University,"Private, for-profit",Business Administration,Bachelor's Degree,43435,48089,50662
The University of Montana-Western,Public,Business Administration,Bachelor's Degree,35880,45620,50530
University of Southern Mississippi,Public,Business Administration,Bachelor's Degree,38757,45711,50509
Eastern Florida State College,Public,Business Administration,Bachelor's Degree,42854,39809,50389
Mars Hill University,"Private, nonprofit",Business Administration,Bachelor's Degree,37725,42659,50368
Southeastern Louisiana University,Public,Business Administration,Bachelor's Degree,38696,44026,50366
St. Mary's University,"Private, nonprofit",Business Administration,Bachelor's Degree,39105,43532,50255
North Carolina Central University,Public,Business Administration,Bachelor's Degree,35819,42441,50247
Wright State University-Lake Campus,Public,Business Administration,Bachelor's Degree,42680,49017,50246
Wright State University-Main Campus,Public,Business Administration,Bachelor's Degree,42680,49017,50246
Barton College,"Private, nonprofit",Business Administration,Bachelor's Degree,44374,38683,50223
University of Northwestern Ohio,"Private, nonprofit",Business Administration,Bachelor's Degree,39182,44054,50192
Bob Jones University,"Private, nonprofit",Business Administration,Bachelor's Degree,44419,47815,50176
Missouri Western State University,Public,Business Administration,Bachelor's Degree,41902,41356,50170
Mount Marty University,"Private, nonprofit",Business Administration,Bachelor's Degree,39625,38596,50059
Keiser University-Ft Lauderdale,"Private, nonprofit",Business Administration,Bachelor's Degree,43109,43861,49978
Lincoln University,Public,Business Administration,Bachelor's Degree,39331,39674,49972
Northwestern State University of Louisiana,Public,Business Administration,Bachelor's Degree,37020,47068,49944
Oakland City University,"Private, nonprofit",Business Administration,Bachelor's Degree,49245,43025,49857
Texas A&M University-Texarkana,Public,Business Administration,Bachelor's Degree,36948,44677,49616
Dalton State College,Public,Business Administration,Bachelor's Degree,43424,44818,49581
University of Arkansas-Fort Smith,Public,Business Administration,Bachelor's Degree,39057,42588,49573
Bethel University,"Private, nonprofit",Business Administration,Bachelor's Degree,49106,46678,49572
East Central University,Public,Business Administration,Bachelor's Degree,38401,43967,49535
Newberry College,"Private, nonprofit",Business Administration,Bachelor's Degree,36773,48039,49436
McNeese State University,Public,Business Administration,Bachelor's Degree,44262,41879,49396
Alliance University,"Private, nonprofit",Business Administration,Bachelor's Degree,39747,43927,49380
The University of Texas Rio Grande Valley,Public,Business Administration,Bachelor's Degree,33579,40378,49369
Jacksonville State University,Public,Business Administration,Bachelor's Degree,39729,44107,49340
Touro University,"Private, nonprofit",Business Administration,Bachelor's Degree,34432,39745,49310
University of Louisiana at Lafayette,Public,Business Administration,Bachelor's Degree,32301,41995,49147
Cazenovia College,"Private, nonprofit",Business Administration,Bachelor's Degree,33052,46866,49101
Nicholls State University,Public,Business Administration,Bachelor's Degree,41860,44305,49085
Keystone College,"Private, nonprofit",Business Administration,Bachelor's Degree,42342,40863,49072
Saint Joseph's College of Maine,"Private, nonprofit",Business Administration,Bachelor's Degree,53238,48012,48941
Arkansas State University,Public,Business Administration,Bachelor's Degree,36007,46196,48927
University of Mobile,"Private, nonprofit",Business Administration,Bachelor's Degree,35819,41840,48916
Lake Superior State University,Public,Business Administration,Bachelor's Degree,39198,43488,48889
Northwestern Oklahoma State University,Public,Business Administration,Bachelor's Degree,44000,40187,48882
Brevard College,"Private, nonprofit",Business Administration,Bachelor's Degree,30761,38010,48851
Kentucky Christian University,"Private, nonprofit",Business Administration,Bachelor's Degree,32389,45272,48794
Bryant & Stratton College-Buffalo,"Private, for-profit",Business Administration,Bachelor's Degree,36375,42204,48785
Bryant & Stratton College-Online,"Private, for-profit",Business Administration,Bachelor's Degree,36375,42204,48785
Bryant & Stratton College-Parma,"Private, for-profit",Business Administration,Bachelor's Degree,36375,42204,48785
Bryant & Stratton College-Virginia Beach,"Private, for-profit",Business Administration,Bachelor's Degree,36375,42204,48785
Bryant & Stratton College-Wauwatosa,"Private, for-profit",Business Administration,Bachelor's Degree,36375,42204,48785
Remington College-Dallas Campus,"Private, nonprofit",Business Administration,Bachelor's Degree,40806,43685,48762
Remington College-Heathrow Campus,"Private, nonprofit",Business Administration,Bachelor's Degree,40806,43685,48762
Remington College-Knoxville,"Private, nonprofit",Business Administration,Bachelor's Degree,40806,43685,48762
Gardner-Webb University,"Private, nonprofit",Business Administration,Bachelor's Degree,42840,40880,48758
Lindsey Wilson College,"Private, nonprofit",Business Administration,Bachelor's Degree,35986,45474,48734
Tennessee Wesleyan University,"Private, nonprofit",Business Administration,Bachelor's Degree,58859,51442,48721
Fayetteville State University,Public,Business Administration,Bachelor's Degree,30944,42451,48720
Chaminade University of Honolulu,"Private, nonprofit",Business Administration,Bachelor's Degree,30587,56920,48625
Harris-Stowe State University,Public,Business Administration,Bachelor's Degree,31146,42178,48613
Arkansas Tech University,Public,Business Administration,Bachelor's Degree,39866,41009,48308
Lourdes University,"Private, nonprofit",Business Administration,Bachelor's Degree,40983,51470,48238
Eastern Kentucky University,Public,Business Administration,Bachelor's Degree,41502,46726,48225
University of Hawaii at Hilo,Public,Business Administration,Bachelor's Degree,36810,40698,47959
Russell Sage College,"Private, nonprofit",Business Administration,Bachelor's Degree,37953,45500,47952
Christian Brothers University,"Private, nonprofit",Business Administration,Bachelor's Degree,37599,44412,47880
Daytona State College,Public,Business Administration,Bachelor's Degree,39584,41945,47774
Johnson C Smith University,"Private, nonprofit",Business Administration,Bachelor's Degree,37906,37977,47745
Monroe College,"Private, for-profit",Business Administration,Bachelor's Degree,32415,43763,47744
Pennsylvania College of Technology,Public,Business Administration,Bachelor's Degree,44538,47499,47677
Miami Dade College,Public,Business Administration,Bachelor's Degree,45072,42927,47594
Prairie View A & M University,Public,Business Administration,Bachelor's Degree,38662,36949,47522
Indian River State College,Public,Business Administration,Bachelor's Degree,40368,41430,47431
Kentucky Wesleyan College,"Private, nonprofit",Business Administration,Bachelor's Degree,41059,40579,47412
University of Arkansas at Pine Bluff,Public,Business Administration,Bachelor's Degree,35490,45141,47367
Murray State University,Public,Business Administration,Bachelor's Degree,37285,41341,47257
Union University,"Private, nonprofit",Business Administration,Bachelor's Degree,58201,36947,47078
Glenville State University,Public,Business Administration,Bachelor's Degree,30916,48460,46973
The University of Texas at El Paso,Public,Business Administration,Bachelor's Degree,37140,39914,46950
King University,"Private, nonprofit",Business Administration,Bachelor's Degree,43471,47425,46943
New Mexico State University-Main Campus,Public,Business Administration,Bachelor's Degree,39442,40965,46931
College of Central Florida,Public,Business Administration,Bachelor's Degree,40202,42159,46695
SUNY College of Technology at Alfred,Public,Business Administration,Bachelor's Degree,39202,46428,46627
Pensacola State College,Public,Business Administration,Bachelor's Degree,43704,46039,46544
Wilberforce University,"Private, nonprofit",Business Administration,Bachelor's Degree,31290,49391,46535
Five Towns College,"Private, for-profit",Business Administration,Bachelor's Degree,25792,37009,46218
University of North Alabama,Public,Business Administration,Bachelor's Degree,35057,44454,46213
Albany State University,Public,Business Administration,Bachelor's Degree,35784,38570,46195
Winston-Salem State University,Public,Business Administration,Bachelor's Degree,32541,39567,46119
Southwestern Christian University,"Private, nonprofit",Business Administration,Bachelor's Degree,38812,38846,46105
Colorado Mountain College,Public,Business Administration,Bachelor's Degree,43563,44362,46083
Eastern New Mexico University-Main Campus,Public,Business Administration,Bachelor's Degree,40085,43545,46051
South Texas College,Public,Business Administration,Bachelor's Degree,31973,42370,45869
Texas A & M International University,Public,Business Administration,Bachelor's Degree,31624,38837,45775
Chowan University,"Private, nonprofit",Business Administration,Bachelor's Degree,37634,35934,45487
Jackson State University,Public,Business Administration,Bachelor's Degree,28911,37326,45456
Central State University,Public,Business Administration,Bachelor's Degree,29472,34012,45357
Point Park University,"Private, nonprofit",Business Administration,Bachelor's Degree,24948,42734,45090
Boricua College,"Private, nonprofit",Business Administration,Bachelor's Degree,37258,48376,45010
Shaw University,"Private, nonprofit",Business Administration,Bachelor's Degree,34652,40945,44619
West Liberty University,Public,Business Administration,Bachelor's Degree,34713,37705,44582
University of the Virgin Islands,Public,Business Administration,Bachelor's Degree,33990,41317,44412
The College of Westchester,"Private, for-profit",Business Administration,Bachelor's Degree,38391,39238,44397
Wiley College,"Private, nonprofit",Business Administration,Bachelor's Degree,33043,41620,44009
South Carolina State University,Public,Business Administration,Bachelor's Degree,25518,31372,43968
Southern Utah University,Public,Business Administration,Bachelor's Degree,32824,44729,43849
Francis Marion University,Public,Business Administration,Bachelor's Degree,39039,42574,43700
NUC University,"Private, for-profit",Business Administration,Bachelor's Degree,29290,33898,43680
Mitchell College,"Private, nonprofit",Business Administration,Bachelor's Degree,25277,35115,43625
Haskell Indian Nations University,Public,Business Administration,Bachelor's Degree,25941,35532,43613
Xavier University of Louisiana,"Private, nonprofit",Business Administration,Bachelor's Degree,16106,36538,43552
Truett McConnell University,"Private, nonprofit",Business Administration,Bachelor's Degree,35300,41231,43481
La Sierra University,"Private, nonprofit",Business Administration,Bachelor's Degree,35477,28602,43241
Shawnee State University,Public,Business Administration,Bachelor's Degree,36224,37764,43163
Cincinnati Christian University,"Private, nonprofit",Business Administration,Bachelor's Degree,46529,50794,42993
Independence University,"Private, nonprofit",Business Administration,Bachelor's Degree,39334,38357,42706
Stevens-Henager College,"Private, nonprofit",Business Administration,Bachelor's Degree,39334,38357,42706
Stevens-Henager College,"Private, nonprofit",Business Administration,Bachelor's Degree,39334,38357,42706
Stevens-Henager College,"Private, nonprofit",Business Administration,Bachelor's Degree,39334,38357,42706
Stevens-Henager College,"Private, nonprofit",Business Administration,Bachelor's Degree,39334,38357,42706
Stevens-Henager College,"Private, nonprofit",Business Administration,Bachelor's Degree,39334,38357,42706
Virginia Union University,"Private, nonprofit",Business Administration,Bachelor's Degree,19354,32573,42012
Concord University,Public,Business Administration,Bachelor's Degree,33348,37654,41895
William Carey University,"Private, nonprofit",Business Administration,Bachelor's Degree,40598,34119,41833
Southeastern University,"Private, nonprofit",Business Administration,Bachelor's Degree,34939,39262,41705
Hallmark University,"Private, nonprofit",Business Administration,Bachelor's Degree,40323,40487,41549
Philander Smith College,"Private, nonprofit",Business Administration,Bachelor's Degree,27413,35509,41548
Mississippi University for Women,Public,Business Administration,Bachelor's Degree,35310,37800,41269
West Virginia State University,Public,Business Administration,Bachelor's Degree,43709,39885,41240
University of Pikeville,"Private, nonprofit",Business Administration,Bachelor's Degree,36213,36988,41021
Louisiana State University-Alexandria,Public,Business Administration,Bachelor's Degree,38225,34437,40966
Valdosta State University,Public,Business Administration,Bachelor's Degree,42088,33575,40295
Southwest University at El Paso,"Private, for-profit",Business Administration,Bachelor's Degree,36583,33676,40101
South Florida State College,Public,Business Administration,Bachelor's Degree,31068,34745,40009
Colorado Technical University-Colorado Springs,"Private, for-profit",Business Administration,Bachelor's Degree,37212,35304,39864
Chipola College,Public,Business Administration,Bachelor's Degree,40730,35913,38330
Jamestown Business College,"Private, for-profit",Business Administration,Bachelor's Degree,38438,40106,38197
Johnson University,"Private, nonprofit",Business Administration,Bachelor's Degree,30767,38314,37129
Johnson University Florida,"Private, nonprofit",Business Administration,Bachelor's Degree,30767,38314,37129
University of Puerto Rico-Cayey,Public,Business Administration,Bachelor's Degree,15928,29017,36577
Talladega College,"Private, nonprofit",Business Administration,Bachelor's Degree,27568,28312,35880
Southern University at New Orleans,Public,Business Administration,Bachelor's Degree,40173,32528,35327
Livingstone College,"Private, nonprofit",Business Administration,Bachelor's Degree,25757,30819,34386
Benedict College,"Private, nonprofit",Business Administration,Bachelor's Degree,28419,30181,33781
Centura College-Chesapeake,"Private, for-profit",Business Administration,Bachelor's Degree,42512,30033,33766
Centura College-Virginia Beach,"Private, for-profit",Business Administration,Bachelor's Degree,42512,30033,33766
Grambling State University,Public,Business Administration,Bachelor's Degree,23418,34679,33761
City College-Fort Lauderdale,"Private, nonprofit",Business Administration,Bachelor's Degree,38802,28456,33112
City College-Gainesville,"Private, nonprofit",Business Administration,Bachelor's Degree,38802,28456,33112
City College-Miami,"Private, nonprofit",Business Administration,Bachelor's Degree,38802,28456,33112
Webber International University,"Private, nonprofit",Business Administration,Bachelor's Degree,29923,39960,33021
Universidad Ana G. Mendez-Gurabo Campus,"Private, nonprofit",Business Administration,Bachelor's Degree,33654,30522,32409
University of Puerto Rico-Bayamon,Public,Business Administration,Bachelor's Degree,14895,28261,32398
Universidad Ana G. Mendez-Cupey Campus,"Private, nonprofit",Business Administration,Bachelor's Degree,26047,27883,32141
Universidad Ana G. Mendez-Carolina Campus,"Private, nonprofit",Business Administration,Bachelor's Degree,26810,30982,31550
