School Name,Type,Major,Description,1 Year,4 Years,5 Years
University of Connecticut-Waterbury Campus,Public,Statistics,Bachelor's Degree,55279,68100,76845
Virginia Polytechnic Institute and State University,Public,Statistics,Bachelor's Degree,62598,82965,74128
University of South Alabama,Public,Statistics,Bachelor's Degree,32181,45091,51684
SUNY College at Old Westbury,Public,Special Education,Bachelor's Degree,38978,44330,68312
University of Illinois Urbana-Champaign,Public,Special Education,Bachelor's Degree,51922,61326,67699
Western Washington University,Public,Special Education,Bachelor's Degree,52912,58469,66702
New Mexico State University-Main Campus,Public,Special Education,Bachelor's Degree,31963,45862,65983
Florida International University,Public,Special Education,Bachelor's Degree,36598,57130,62506
University of Hawaii at Manoa,Public,Special Education,Bachelor's Degree,60396,56026,61945
St. Joseph's University-New York,"Private, nonprofit",Special Education,Bachelor's Degree,35041,55060,61465
Providence College,"Private, nonprofit",Special Education,Bachelor's Degree,49664,55130,60307
Indiana University-Bloomington,Public,Special Education,Bachelor's Degree,51306,51531,59829
Texas A & M International University,Public,Special Education,Bachelor's Degree,47820,53223,59201
Salve Regina University,"Private, nonprofit",Special Education,Bachelor's Degree,51308,53660,58989
Kean University,Public,Special Education,Bachelor's Degree,48628,55172,58792
Trinity Christian College,"Private, nonprofit",Special Education,Bachelor's Degree,48840,47999,58755
East Stroudsburg University of Pennsylvania,Public,Special Education,Bachelor's Degree,50327,51821,58152
Eastern Washington University,Public,Special Education,Bachelor's Degree,41883,54887,58104
Westfield State University,Public,Special Education,Bachelor's Degree,40429,45141,57770
Towson University,Public,Special Education,Bachelor's Degree,53331,52508,57712
Kutztown University of Pennsylvania,Public,Special Education,Bachelor's Degree,50645,49619,57501
Northern Illinois University,Public,Special Education,Bachelor's Degree,46578,49485,57132
Bridgewater State University,Public,Special Education,Bachelor's Degree,50061,49481,57064
Florida Atlantic University,Public,Special Education,Bachelor's Degree,56009,52345,56998
Rhode Island College,Public,Special Education,Bachelor's Degree,50060,50947,56951
University of Nevada-Las Vegas,Public,Special Education,Bachelor's Degree,49827,51927,56356
Illinois State University,Public,Special Education,Bachelor's Degree,48358,49411,56275
Southern Connecticut State University,Public,Special Education,Bachelor's Degree,50641,49147,55954
University of Wisconsin-Madison,Public,Special Education,Bachelor's Degree,50174,47683,55063
Florida Gulf Coast University,Public,Special Education,Bachelor's Degree,46866,49745,55014
Utah State University,Public,Special Education,Bachelor's Degree,61474,49647,54315
SUNY Buffalo State University,Public,Special Education,Bachelor's Degree,16737,49909,53972
Bloomsburg University of Pennsylvania,Public,Special Education,Bachelor's Degree,50159,46652,53708
Neumann University,"Private, nonprofit",Special Education,Bachelor's Degree,42488,45732,53662
University of Georgia,Public,Special Education,Bachelor's Degree,43137,47248,53452
University of Nebraska at Omaha,Public,Special Education,Bachelor's Degree,37998,54167,53367
Arizona State University Campus Immersion,Public,Special Education,Bachelor's Degree,49882,47304,53261
Broward College,Public,Special Education,Bachelor's Degree,49262,49391,53145
Metropolitan State University of Denver,Public,Special Education,Bachelor's Degree,39638,45385,52967
Winona State University,Public,Special Education,Bachelor's Degree,46697,46505,52938
Georgia College & State University,Public,Special Education,Bachelor's Degree,45167,45735,52928
University of South Florida,Public,Special Education,Bachelor's Degree,50975,46434,52875
Indiana University of Pennsylvania-Main Campus,Public,Special Education,Bachelor's Degree,44121,44386,52862
Western Governors University,"Private, nonprofit",Special Education,Bachelor's Degree,46271,45589,52641
University of North Florida,Public,Special Education,Bachelor's Degree,47734,43051,52358
Eastern Illinois University,Public,Special Education,Bachelor's Degree,43955,41887,51770
University of North Carolina Wilmington,Public,Special Education,Bachelor's Degree,42584,42392,51603
University of Nebraska-Lincoln,Public,Special Education,Bachelor's Degree,47017,44358,51536
Wayne State University,Public,Special Education,Bachelor's Degree,44157,44713,51383
Minnesota State University-Mankato,Public,Special Education,Bachelor's Degree,47132,49281,51346
University of Wisconsin-Whitewater,Public,Special Education,Bachelor's Degree,47592,47106,51281
Eastern Michigan University,Public,Special Education,Bachelor's Degree,43777,44496,51197
University of Dayton,"Private, nonprofit",Special Education,Bachelor's Degree,45260,44985,50844
Central Michigan University,Public,Special Education,Bachelor's Degree,46522,43515,50739
Auburn University,Public,Special Education,Bachelor's Degree,42774,45087,50705
Ball State University,Public,Special Education,Bachelor's Degree,47499,45379,50351
The University of Alabama,Public,Special Education,Bachelor's Degree,45631,45349,50092
Northern Arizona University,Public,Special Education,Bachelor's Degree,47610,44690,50073
Western Michigan University,Public,Special Education,Bachelor's Degree,47868,43549,49952
Northeastern State University,Public,Special Education,Bachelor's Degree,46045,43595,49771
Mercyhurst University,"Private, nonprofit",Special Education,Bachelor's Degree,46636,45610,49564
Capital University,"Private, nonprofit",Special Education,Bachelor's Degree,42709,40804,49486
